year,month,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1987,1,-2.4,-0.2,-4.8,1036.9,83,36.33,6.3,16.3,26.8, ,7,9,0,4
1987,2,2.9,5.3,0.6,1015.5,91.4,53.35,5.6,16.1,25.8, ,17,8,0,7
1987,3,4.2,8,0.9,1019.4,81.5,74.16,7.6,19.7,31.9, ,19,8,2,2
1987,4,12.2,17,7.4,1028.5,74.4,32.76,9.5,15.9,26.9, ,19,0,2,2
1987,5,11.3,16.1,6.3,1023.8,79.8,63.24,9.8,17.6,30.1, ,18,0,6,1
1987,6,15,19.2,11.3,1020,87.8,117.35,9.1,14.8,27.8, ,25,0,3,4
1987,7,17.9,22.6,13.4,1020,81.1,92.2,9,13.3,23.4, ,16,0,5,2
1987,8,18.2,23,13.4,-,74.1,92.69,9.4,13,23.7, ,12,0,1,3
1987,9,17.1,21.9,13,1016.8,78.8,36.82,8.9,12.4,23.3, ,13,0,1,6
1987,10,12,15.9,8.6,990.2,84.9,110.74,7.9,16.7,27.3, ,18,0,2,6
1987,11,6.6,9.2,4,1028.8,89.2,45.21,6.7,16.1,26.3, ,17,2,0,9
1987,12,4.3,6.6,2,1018.4,88.2,28.7,6,16.6,24.9, ,15,1,0,10
1988,1,7.1,9.6,4.4,1014.9,86.5,105.91,9.1,22.2,34.2, ,28,1,0,4
1988,2,4.9,8.4,1.8,1009.5,80.1,60.22,9.3,22.2,36.8, ,20,8,2,2
1988,3,6.8,9.5,4.1,1010.1,81,82.57,9.7,22,35.4, ,29,4,0,0
1988,4,10.4,15.1,5.5,-,71.5,9.65,7.9,15.7,24.8, ,11,0,1,4
1988,5,14.5,18.9,10.2,1015.9,76.9,45.22,8.7,14.6,25.1, ,20,0,4,3
1988,6,16,20.9,11.4,-,78.8,19.04,8.4,14.4,22.7, ,10,0,2,3
1988,7,17.4,22,13.2,1014.8,76.7,97.3,10.6,15.6,27.6, ,19,0,2,0
1988,8,18.5,24.1,13.3,1014.5,72.9,29.46,10.1,13.2,23.2, ,12,0,3,3
1988,9,15.1,19.2,11.7,1032.5,84.2,55.1,9.1,15.4,26, ,15,0,1,5
1988,10,12.2,16.3,9.1,1016.7,88.1,72.91,8.3,16.5,26, ,16,0,1,6
1988,11,5.8,9.6,2.2,1024.6,91.1,51.3,5.9,13.1,22.7, ,9,0,0,11
1988,12,7.3,9.1,5.4,1029.1,92.6,78.75,7.5,14.8,24.7, ,16,0,0,6
1989,1,4.1,7,1.7,1027.8,94.2,31.49,4.6,12,20.1, ,11,0,0,16
1989,2,4.6,8.1,1.6,1014.9,87.8,24.14,6.5,16.1,26.5, ,10,1,1,10
1989,3,10.1,14.4,5.9,-,76.5,85.61,9.4,18.1,30, ,17,0,2,2
1989,4,8.3,12.4,4.4,1011,80.7,94.23,8.2,15.8,28.3, ,22,1,2,2
1989,5,16.4,22.2,10,-,66.1,38.1,9.3,14.5,24.2, ,6,0,3,3
1989,6,10.9,14.9,7.5,-,77.1,47.48,9.2,11.9,21.4, ,6,0,1,0
1989,7,20.8,26.7,14.6,1021.8,64.7,22.34,9.9,13.1,23.7, ,8,0,5,0
1989,8,19.4,25.1,13.9,1015.5,66.1,27.95,10.1,12.6,23.4, ,11,0,3,3
1989,9,16.6,21.9,11.9,1016.7,73.8,34.29,8.8,13.9,22.1, ,14,0,2,2
1989,10,13.8,18,10.1,1014.2,77.3,40.39,9.1,16.4,26.6, ,16,0,0,2
1989,11,6.1,10.2,2.6,1022.7,82.4,42.67,8.1,15.8,24.6, ,10,0,1,4
1989,12,4.5,7.3,1.9,1022.2,87.1,82.03,6.4,19.8,29.9, ,15,0,2,14
1990,1,5.5,7.9,3.1,-,87.9,43.93,6.2,20.5,31.3, ,20,1,0,16
1990,2,9.2,13.2,5.6,1016.3,82.7,89.91,9.9,27.6,44.7, ,19,0,0,2
1990,3,9.3,14,4.6,-,78.7,15.75,8.5,17.2,27.8, ,11,2,0,1
1990,4,9.2,14.3,4.5,1021.1,76.6,49.52,9,19.5,32.9, ,19,1,6,4
1990,5,16.1,21.9,9.9,-,67.9,5.08,9.8,13.7,22.6, ,4,0,1,0
1990,6,15.8,20.3,11.5,1018.3,79.2,56.39,9.9,14.3,25.7, ,23,0,6,1
