year,month,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1990,7,19.7,25.7,13.2,1014.3,63.2,32.27,10.2,15.9,24.5, ,9,0,1,0
1990,8,21.4,27.7,15.2,1021.2,62.3,12.44,9.9,12.7,23.4, ,9,0,4,1
1990,9,15.1,20.6,10,1023.3,66.1,24.89,9.8,14.3,24.4, ,8,0,1,0
1990,10,13.7,17.8,9.9,1013.9,76.4,108.7,9.4,17.6,27.8, ,16,0,1,3
1990,11,7.1,10.8,4.7,1018.9,87.8,34.29,7.5,16.2,25.1, ,18,0,1,8
1990,12,3.8,6.7,1.4,1022.7,86.6,148.57,6.9,18.3,29.1, ,17,5,0,4
1991,1,4.1,7.7,1.7,1029.4,81.4,103.89,7.8,19.4,31.2, ,16,0,1,5
1991,2,0.9,5.5,-2.3,-,82.8,14.73,4.9,13.9,23.7, ,7,8,0,13
1991,3,9.7,14.2,6.4,-,81.7,68.82,8.1,17.2,27.5, ,21,0,0,3
1991,4,9.7,15.6,4.8,-,70.8,25.9,9.2,17.6,28.7, ,16,3,1,0
1991,5,11.4,17.4,6.6,1020.8,79.8,20.07,8.8,15.6,24.1, ,11,0,1,2
1991,6,14.7,19.8,10.7,1014.6,80,61.21,10,17.1,28.2, ,23,0,3,0
1991,7,19.7,26.8,14.6,1009.2,78,51.05,9.8,13.4,23.2, ,15,0,0,3
1991,8,20.3,28,14,1022.5,71.1,36.32,10.1,12.6,20.4, ,5,0,2,0
1991,9,17.5,24.4,12.2,1014.4,74.6,45.73,9.2,12.5,22.3, ,14,0,2,3
1991,10,11.2,16.2,7.4,1007.8,88.5,33.51,8.6,14.5,23.9, ,15,0,0,8
1991,11,6.6,10.6,3.5,1007.2,90.6,88.13,7.6,19,29.8, ,17,0,1,11
1991,12,3.4,6.9,0.7,1027.2,91.5,52.31,7,16.3,25.6, ,11,2,0,4
1992,1,2.9,6.4,0.4,1026.2,90.8,2.51,5.9,16.1,24.4, ,8,0,0,6
1992,2,5.1,9.9,1.5,-,89.2,40.4,6.8,15.7,25, ,12,2,1,10
1992,3,8.5,13.2,5.1,989.4,84,65.77,8.9,19.8,32.4, ,23,2,0,4
1992,4,9.9,15.4,5.5,1010,76.8,18.01,9.7,18.8,31.3, ,16,1,0,3
1992,5,15.8,22.5,10,1012.8,71.5,49.78,10.2,16.2,28.4, ,11,0,4,1
1992,6,16.6,22.7,12,-,85.4,100.82,8.1,14.7,24.1, ,16,0,5,3
1992,7,19.9,26.7,14.4,-,77.5,50.29,9.9,12.5,22.7, ,9,0,2,1
1992,8,20.2,27.2,15.2,-,76.8,39.36,10,15.2,28.5, ,22,0,2,1
1992,9,15.5,20.9,11.2,-,84.9,171.69,10.1,14,24.2, ,16,0,2,1
1992,10,9.1,13.7,5.8,-,90.1,55.11,8.9,17.4,29.3, ,16,0,0,3
1992,11,8.9,12.7,6.1,1027.3,93.2,84.31,7.8,18.2,31.9, ,27,0,1,9
1992,12,4.6,7.8,1.9,1006.8,93.1,68.58,7.3,16,26, ,15,0,1,9
1993,1,6.9,10.3,3.7,1025,91.6,69.57,8.8,21.3,33.8, ,24,0,0,4
1993,2,2.8,5.8,0.5,1036.1,92.7,13.2,5.7,13.3,22.8, ,12,6,0,10
1993,3,7.5,12.9,3,1025.4,64.8,3.55,8.7,14.9,24.2, ,5,0,0,2
1993,4,12.1,17.1,7.9,1010.9,71.5,50.05,9.6,15.7,28.5, ,24,0,7,4
1993,5,15,19.6,10.9,1013.3,68.9,99.57,9.2,15.7,25.9, ,19,0,6,2
1993,6,17.6,23.5,12.7,1019,70,62.74,9.1,14.3,24.4, ,13,0,3,4
1993,7,17.8,23.8,13.2,1017.8,67.8,64.77,13.1,13.8,25.1, ,14,1,5,1
1993,8,17.7,23.9,11.5,1019.4,61.8,1.52,13.1,13.4,23.2, ,8,0,1,0
1993,9,14.4,18.8,10.9,1011.6,76.9,85.34,10.9,16,26.2, ,19,0,2,5
1993,10,9.8,12.7,7.3,1013.4,80.3,103.62,10.3,18.6,27.3, ,16,0,3,0
1993,11,3.4,6.6,0.7,1020.1,83.4,26.4,6.3,14.1,22, ,9,4,0,8
1993,12,6.9,9.7,4.2,1010.9,84.3,127.5,9.8,24.8,39, ,29,4,2,3
1994,1,6.1,8.7,3.8,1015.2,85.1,67.82,9.2,21.4,34.2, ,23,2,1,6
1994,2,4.9,8.4,1.8,1013.4,83.3,36.06,7.8,15,23.5, ,18,5,0,10
1994,3,9.6,13.9,5.8,1019.7,74.7,42.41,10.9,20.1,31.5, ,22,0,0,4
1994,4,9.5,13.9,5.6,1013.1,71.5,79.48,10.7,19.8,32.8, ,19,4,6,2
1994,5,14.2,19.7,9.6,1013,68.4,61.22,11.9,15.7,26.4, ,15,0,3,1
1994,6,17.4,23.5,11.5,1019.8,67.1,49.02,11.8,15.5,25.5, ,8,0,1,1
1994,7,22.3,28.9,16.5,1016.7,63.9,29.45,10.5,11.7,20.9, ,10,0,4,3
1994,8,19.3,24.6,14.7,1015.1,70,91.67,12.5,12.7,22.1, ,19,0,6,1
1994,9,14.7,18.9,11.3,1013.9,78.1,71.13,10.6,14.3,24.6, ,17,0,2,7
1994,10,11.5,16.6,7.4,1015.1,78,47.74,10.6,16.6,24.8, ,14,0,2,9
1994,11,11.3,13.9,8.9,1019.5,87.8,56.89,8.4,13.8,21.5, ,15,0,0,8
1994,12,6.8,9.6,4.3,1020.2,85.7,62.98,8.5,20.4,30.4, ,18,0,1,4
1995,1,5.2,8.5,2.2,1017,83.3,135.9,10.2,23.3,37.3, ,24,3,2,7
1995,2,8.3,11.2,5.6,1014.4,81.3,81.79,11.3,22.4,35.7, ,24,1,0,2
1995,3,6.8,11.1,3.1,1015.4,74.9,79.24,10.8,20.8,33.2, ,19,5,2,0
1995,4,9.7,13.8,6.1,1018.2,82.6,19.56,7.7,15.1,23.9, ,13,0,3,9
1995,5,14.4,19.4,9.2,1016.2,70.4,63.75,11.8,13.6,22.6, ,12,0,2,4
1995,6,16.2,21.4,11.4,1017.9,73.9,20.57,11.9,14.1,23.6, ,15,0,1,0
1995,7,21.7,27.7,16.1,1015.2,70.5,116.86,11.9,12.3,21.2, ,15,0,7,1
1995,8,21.1,27.4,15.6,1017.4,65.2,14.49,12.6,14.3,24, ,7,0,2,0
1995,9,14.8,19.2,10.8,1012.8,79.9,76.21,11.3,15.1,25.4, ,20,0,1,5
1995,10,14.8,19.3,11,1020.5,82.6,16.76,8.8,12.1,19.8, ,10,0,1,12
1995,11,7.4,11.1,4.5,1018,83.7,8.63,8.9,13.6,21.9, ,12,1,0,6
1995,12,2.9,5.3,0.8,1015,90.6,54.85,6,15.7,22.8, ,16,4,0,13
1996,1,3.5,6.2,1.5,1011.2,89.7,44.44,6.2,17,27.8, ,10,2,0,6
1996,2,2.4,5.3,0.1,1013.8,83.6,35.29,8.3,19.8,30.3, ,13,11,0,4
1996,3,5.8,10.3,2.1,1016.6,73.9,24.12,8.2,14.4,23.1, ,12,3,0,1
1996,4,10.6,16.1,5.1,1017,60,8.37,10.5,14.2,22.9, ,6,0,1,0
1996,5,11.8,16.3,7.8,1013.8,72.9,62.24,10.8,17.9,27.9, ,21,0,4,3
1996,6,17.9,23.8,12,1021.1,61.4,25.13,13,12.7,20.8, ,7,0,2,2
1996,7,18.7,24.6,13.3,1018.4,61,30.73,13.3,14.3,22.8, ,8,0,0,1
1996,8,18.6,24,14.1,1015.7,65.2,86.85,12.5,12.6,21, ,16,0,3,0
1996,9,13.7,18.7,9.3,1016.8,71.5,33.76,10.8,14.7,23, ,7,0,0,3
1996,10,11.9,16,8.4,1018,79.6,42.68,10.5,14.7,23.6, ,16,0,0,8
1996,11,6.6,9.3,4.1,1012.5,86.9,104.14,9.8,18.4,27.9, ,22,3,0,3
1996,12,1.9,4.4,-0.1,1013.6,85.4,46.48,7.3,15.3,22.8, ,16,6,0,9
1997,1,0.3,3.1,-2.3,1021.9,86,4.82,4.7,13.7,20.6, ,9,6,0,12
1997,2,7.2,10.9,4,1021.5,76.4,55.87,9.9,21.9,32.9, ,15,0,2,4
1997,3,9.7,14.3,5.8,1025.5,74.1,11.92,9.3,13,20.9, ,11,0,0,5
1997,4,9.7,15.4,4,1021.6,57.4,15.49,11.6,15.9,25.5, ,5,0,1,0
1997,5,14.3,19.6,9.3,1014.7,67.7,77.44,12.1,17.5,27.1, ,18,0,4,1
1997,6,16.8,21.1,12.9,1009.7,71,86.61,12.2,14.6,24.1, ,22,0,5,0
1997,7,18.7,24.2,13.4,1018.6,67.7,22.6,11.4,12.4,20.8, ,12,0,1,6
1997,8,22.6,28.2,17.5,1015.5,65.8,77.97,11,11,19.4, ,12,0,5,2
1997,9,16.6,23.3,10.8,1021.6,63.4,2.79,11.7,10.6,17.8, ,3,0,0,2
1997,10,11.3,16.2,7.2,1017.8,73.7,33.51,10.8,15.9,23.6, ,12,0,0,2
1997,11,8.5,11.2,5.9,1006.9,89.1,50.3,8.3,16.9,24.6, ,23,0,0,9
1997,12,5.9,8.5,3.8,1013.6,89.5,78.49,9.7,18.5,27.1, ,18,2,0,3
1998,1,4.7,7.9,2.1,1017.6,83.5,72.14,9.9,21.1,32, ,15,1,0,4
1998,2,5.9,10.5,1.9,1026.9,80.8,10.12,7.4,11.8,19.3, ,7,0,0,11
1998,3,8.6,12.2,4.9,1023.8,70.3,23.38,10.5,17.4,26.5, ,17,0,0,3
1998,4,9.6,13.2,6.5,1004.3,77,106.16,12,18.5,29.3, ,27,2,4,1
1998,5,16.1,21.3,10.8,1016,62.8,13.2,12.4,15,24, ,9,0,1,0
1998,6,17.6,22.8,12.9,1016,65.6,53.1,13.1,15.7,25.9, ,17,0,3,1
1998,7,17.7,22.9,13.4,1015.2,67.9,52.06,12.7,15.2,24.9, ,17,0,2,1
1998,8,19.4,26,13.4,1018.8,58.5,12.95,13,11.9,20.8, ,7,0,1,1
1998,9,16,20.6,12.4,1010.9,76.4,80.77,11.4,17.3,27.7, ,21,0,4,2
1998,10,11.4,14.5,8.6,1014.8,82.3,101.33,10.2,19,29.2, ,25,1,2,3
1998,11,4.7,8,1.7,1019.6,82.4,44.68,9.4,15.2,24.5, ,20,3,0,8
1998,12,5.1,7.6,2.7,1022.3,85.8,44.42,8.6,16.8,27.7, ,17,2,0,7
