HelioClim-1 Database of Daily Solar Irradiance v4.0 (derived from satellite data)
Provider;MINES ParisTech - Armines (France)
More information at;http://www.helioclim.org
Site latitude (positive means North);48.700
Site longitude (positive means East);2.180
Date beginning;1985-01-01
Date end;2005-01-01
Irradiance;Monthly mean of irradiance in W/m2 (-999 if no data)
Uncertainty;Uncertainty in irradiance in W/m2
Nb hours;In percent. Ratio of the number of hours used for the computation and the length of the day in hours
Nb data;Number of data used for the computation of the value
Top of Atm.;Monthly mean of irradiance at the top of the atmosphere (extraterrestrial) in W/m2
Clear-Sky;Typical monthly mean of irradiance if the sky were clear in W/m2
Irradiation;Monthly mean of daily irradiation in Wh/m2 (-999 if no data)
Irradiation J/cm2;Monthly mean of daily irradiation in J/cm2 (-999 if no data)
Monthly Sum;Monthly irradiation in Wh/m2 (i.e., monthly sum of radiation; -999 if no data)

Monthly means of irradiances in W/m2 and daily irradiation from HelioClim-1
Year;Month;Irradiance;Uncertainty;Nb hours;Nb data;Top of Atm.;Clear-Sky;Irradiation;Irradiation J/cm2;Monthly Sum;
1993;5;190;15;27;279;450;329;4560;1641;141360;
1993;6;237;17;26;270;482;364;5688;2047;170640;
1993;7;219;16;26;279;464;348;5256;1892;162936;
1993;8;205;14;25;270;400;289;4920;1771;152520;
1993;9;111;9;25;270;309;217;2664;959;79920;
1993;10;65;5;27;279;212;142;1560;561;48360;
1993;11;45;3;15;270;134;79;1080;388;32400;
1993;12;16;2;13;279;100;59;384;138;11904;
1994;1;29;3;16;279;118;73;696;250;21576;
1994;2;43;4;22;252;182;116;1032;371;28896;
1994;3;91;8;26;279;276;195;2184;786;67704;
1994;4;161;12;23;270;375;281;3864;1391;115920;
1994;5;205;15;27;279;449;328;4920;1771;152520;
1994;6;253;18;27;270;482;364;6072;2185;182160;
1994;7;255;18;27;279;464;348;6120;2203;189720;
1994;8;187;14;26;279;401;290;4488;1615;139128;
1994;9;116;9;25;270;310;218;2784;1002;83520;
1994;10;83;6;28;279;213;142;1992;717;61752;
1994;11;33;3;15;270;135;80;792;285;23760;
1994;12;25;2;13;279;100;59;600;216;18600;
1995;1;29;2;16;279;117;73;696;250;21576;
1995;2;46;4;21;252;182;116;1104;397;30912;
1995;3;106;8;27;279;275;194;2544;915;78864;
1995;4;137;11;24;270;374;280;3288;1183;98640;
1995;5;203;15;27;279;449;328;4872;1753;151032;
1995;6;219;17;27;270;482;364;5256;1892;157680;
1995;7;245;17;27;279;464;348;5880;2116;182280;
1995;8;207;14;26;279;401;290;4968;1788;154008;
1995;9;115;9;25;270;311;218;2760;993;82800;
1995;10;85;6;29;279;213;143;2040;734;63240;
1995;11;44;3;15;270;135;80;1056;380;31680;
1995;12;20;2;13;279;100;59;480;172;14880;
1996;1;37;3;12;270;118;73;888;319;27528;
1996;2;39;4;26;261;182;117;936;336;27144;
1996;3;113;9;26;279;278;196;2712;976;84072;
1996;4;192;14;23;270;376;282;4608;1658;138240;
1996;5;154;13;26;279;450;329;3696;1330;114576;
1996;6;242;17;33;270;482;364;5808;2090;174240;
1996;7;229;17;29;279;463;347;5496;1978;170376;
1996;8;176;13;23;279;399;289;4224;1520;130944;
1996;9;141;10;25;270;309;216;3384;1218;101520;
1996;10;76;6;28;279;211;141;1824;656;56544;
1996;11;33;3;15;270;134;79;792;285;23760;
1996;12;25;2;13;279;99;59;600;216;18600;
1997;1;30;3;16;279;118;73;720;259;22320;
1997;2;53;4;22;252;183;117;1272;457;35616;
1997;3;108;8;27;279;277;195;2592;933;80352;
1997;4;203;14;24;270;376;282;4872;1753;146160;
1997;5;217;16;27;279;450;329;5208;1874;161448;
1997;6;207;16;27;270;482;364;4968;1788;149040;
1997;7;245;17;27;279;464;348;5880;2116;182280;
1997;8;206;14;26;279;400;289;4944;1779;153264;
1997;9;165;11;25;270;309;217;3960;1425;118800;
1997;10;91;7;28;279;212;141;2184;786;67704;
1997;11;36;3;14;270;134;79;864;311;25920;
1997;12;25;2;13;279;100;59;600;216;18600;
1998;1;38;3;16;279;118;73;912;328;28272;
1998;2;67;5;22;252;182;117;1608;578;45024;
1998;3;91;8;26;279;276;195;2184;786;67704;
1998;4;137;11;24;270;375;281;3288;1183;98640;
1998;5;222;16;27;279;449;328;5328;1918;165168;
1998;6;228;17;26;270;482;364;5472;1969;164160;
1998;7;181;14;26;279;464;348;4344;1563;134664;
1998;8;204;14;26;279;401;290;4896;1762;151776;
1998;9;117;9;24;270;310;217;2808;1010;84240;
1998;10;49;4;29;279;212;142;1176;423;36456;
1998;11;38;3;15;270;134;80;912;328;27360;
1998;12;22;2;13;279;100;59;528;190;16368;
1999;1;34;3;16;279;118;73;816;293;25296;
1999;2;51;4;22;252;182;116;1224;440;34272;
1999;3;97;8;26;279;275;194;2328;838;72168;
1999;4;153;12;23;270;374;280;3672;1321;110160;
1999;5;202;15;27;279;449;328;4848;1745;150288;
1999;6;220;17;26;270;482;364;5280;1900;158400;
1999;7;243;17;26;279;464;348;5832;2099;180792;
1999;8;199;14;26;279;401;290;4776;1719;148056;
1999;9;128;10;25;270;311;218;3072;1105;92160;
1999;10;74;6;28;279;213;143;1776;639;55056;
1999;11;36;3;15;261;135;80;864;311;25920;
1999;12;22;2;13;279;100;59;528;190;16368;
2000;1;30;3;16;252;117;72;720;259;22320;
2000;2;42;4;21;261;182;117;1008;362;29232;
2000;3;96;8;26;279;278;196;2304;829;71424;
2000;4;137;11;24;261;378;283;3288;1183;98640;
2000;5;188;14;27;279;450;329;4512;1624;139872;
2000;6;228;17;26;270;482;364;5472;1969;164160;
2000;7;174;14;27;279;463;347;4176;1503;129456;
2000;8;197;14;26;279;399;289;4728;1702;146568;
2000;9;124;10;25;270;308;216;2976;1071;89280;
2000;10;52;5;28;279;211;141;1248;449;38688;
2000;11;32;3;15;261;133;79;768;276;23040;
2000;12;25;2;13;279;99;59;600;216;18600;
2001;1;30;3;16;279;118;73;720;259;22320;
2001;2;44;4;20;252;183;117;1056;380;29568;
2001;3;72;6;25;279;277;196;1728;622;53568;
2001;4;134;11;23;270;376;282;3216;1157;96480;
2001;5;218;16;27;279;450;329;5232;1883;162192;
2001;6;240;17;26;270;482;364;5760;2073;172800;
2001;7;217;16;27;279;463;348;5208;1874;161448;
2001;8;190;14;26;279;400;289;4560;1641;141360;
2001;9;103;8;25;270;309;217;2472;889;74160;
2001;10;76;6;27;279;212;141;1824;656;56544;
2001;11;42;3;15;270;134;79;1008;362;30240;
2001;12;31;2;13;279;99;59;744;267;23064;
2002;1;33;3;16;279;118;73;792;285;24552;
2002;2;43;4;22;252;182;117;1032;371;28896;
2002;3;106;8;26;279;276;195;2544;915;78864;
2002;4;184;13;23;270;375;281;4416;1589;132480;
2002;5;175;14;27;279;449;328;4200;1512;130200;
2002;6;231;17;26;270;482;364;5544;1995;166320;
2002;7;213;16;27;279;464;348;5112;1840;158472;
2002;8;161;13;26;279;401;290;3864;1391;119784;
2002;9;128;10;24;270;310;217;3072;1105;92160;
2002;10;72;6;29;279;212;142;1728;622;53568;
2002;11;28;3;15;270;134;80;672;241;20160;
2002;12;18;2;13;279;100;59;432;155;13392;
2003;1;26;2;16;279;118;73;624;224;19344;
2003;2;63;5;22;252;182;116;1512;544;42336;
2003;3;131;9;26;279;275;194;3144;1131;97464;
2003;4;178;13;23;270;374;280;4272;1537;128160;
2003;5;194;15;27;279;449;328;4656;1676;144336;
2003;6;252;18;26;270;482;364;6048;2177;181440;
2003;7;232;17;26;279;464;348;5568;2004;172608;
2003;8;225;15;25;279;401;290;5400;1944;167400;
2003;9;149;11;25;270;311;218;3576;1287;107280;
2003;10;63;5;28;279;213;143;1512;544;46872;
2003;11;35;3;15;270;135;80;840;302;25200;
2003;12;25;2;13;279;100;59;600;216;18600;
2004;1;26;2;16;279;117;72;624;224;19344;
2004;2;47;4;22;261;183;117;1128;406;32712;
2004;3;105;8;26;279;278;196;2520;907;78120;
2004;4;167;13;24;270;376;282;4008;1442;120240;
2004;5;210;15;27;279;450;329;5040;1814;156240;
2004;6;234;17;26;270;482;364;5616;2021;168480;
2004;7;209;16;27;279;463;347;5016;1805;155496;
2004;8;166;13;26;279;399;289;3984;1434;123504;
2004;9;137;10;25;270;308;216;3288;1183;98640;
2004;10;64;5;28;279;211;141;1536;552;47616;
2004;11;30;3;15;270;133;79;720;259;21600;
2004;12;19;2;13;279;99;59;456;164;14136;
2005;1;37;3;16;279;118;73;888;319;27528;
